country,year,rate
Brunei Darussalam,2004,97.9
Brunei Darussalam,2005,97.4
Brunei Darussalam,2006,97
Brunei Darussalam,2007,96.7
Brunei Darussalam,2008,96.8
Brunei Darussalam,2009,97.5
Brunei Darussalam,2010,97.4
Brunei Darussalam,2011,
Brunei Darussalam,2012,
Brunei Darussalam,2013,
Brunei Darussalam,2014,
Cambodia,2004,
Cambodia,2005,90.1
Cambodia,2006,91.9
Cambodia,2007,91.3
Cambodia,2008,92.1
Cambodia,2009,93.3
Cambodia,2010,94.4
Cambodia,2011,94.8
Cambodia,2012,95.2
Cambodia,2013,95.6
Cambodia,2014,99
Indonesia ,2004,93
Indonesia ,2005,93.3
Indonesia ,2006,93.5
Indonesia ,2007,93.8
Indonesia ,2008,94
Indonesia ,2009,94.4
Indonesia ,2010,94.8
Indonesia ,2011,91
Indonesia ,2012,92.5
Indonesia ,2013,95.6
Indonesia ,2014,99
Lao People's Democratic Republic,2004,
Lao People's Democratic Republic,2005,84
Lao People's Democratic Republic,2006,83.9
Lao People's Democratic Republic,2007,86.4
Lao People's Democratic Republic,2008,89.2
Lao People's Democratic Republic,2009,91.6
Lao People's Democratic Republic,2010,92.7
Lao People's Democratic Republic,2011,94.1
Lao People's Democratic Republic,2012,95.2
Lao People's Democratic Republic,2013,
Lao People's Democratic Republic,2014,
Malaysia,2004,95.3
Malaysia,2005,95.5
Malaysia,2006,95.3
Malaysia,2007,96.2
Malaysia,2008,95.5
Malaysia,2009,95.7
Malaysia,2010,96.2
Malaysia,2011,95.9
Malaysia,2012,96.4
Malaysia,2013,97.3
Malaysia,2014,
Myanmar,2004,80.8
Myanmar,2005,82.3
Myanmar,2006,82.5
Myanmar,2007,82.7
Myanmar,2008,83.6
Myanmar,2009,83.9
Myanmar,2010,84.1
Myanmar,2011,84.6
Myanmar,2012,84.6
Myanmar,2013,86.4
Myanmar,2014,
Philippines,2004,
Philippines,2005,84.4
Philippines,2006,84.4
Philippines,2007,87.9
Philippines,2008,88.3
Philippines,2009,89.2
Philippines,2010,89.4
Philippines,2011,89.9
Philippines,2012,
Philippines,2013,
Philippines,2014,
Singapore,2004,94.9
Singapore,2005,97.3
Singapore,2006,96.6
Singapore,2007,97.1
Singapore,2008,97.1
Singapore,2009,96.8
Singapore,2010,100
Singapore,2011,100
Singapore,2012,100
Singapore,2013,100
Singapore,2014,100
Thailand ,2004,104.2
Thailand ,2005,87
Thailand ,2006,
Thailand ,2007,
Thailand ,2008,
Thailand ,2009,
Thailand ,2010,86
Thailand ,2011,
Thailand ,2012,97.6
Thailand ,2013,98.8
Thailand ,2014,
Viet Nam,2004,
Viet Nam,2005,95
Viet Nam,2006,96
Viet Nam,2007,96.1
Viet Nam,2008,97
Viet Nam,2009,95.5
Viet Nam,2010,94.9
Viet Nam,2011,95.3
Viet Nam,2012,96.5
Viet Nam,2013,96.6
Viet Nam,2014,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,91.4
,,90.7
,,89
,,88.8
,,89
,,89.5
,,
,,
,,
,,91.1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,93.1
,,93.3
,,93.6
,,94.9
