Country,Year,Value
Brunei Darussalam,2004,
Brunei Darussalam,2005,97
Brunei Darussalam,2006,
Brunei Darussalam,2007,
Brunei Darussalam,2008,
Brunei Darussalam,2009,
Brunei Darussalam,2010,97
Brunei Darussalam,2011,
Brunei Darussalam,2012,
Brunei Darussalam,2013,
Brunei Darussalam,2014,
Cambodia,2004,14.9
Cambodia,2005,17.7
Cambodia,2006,21.3
Cambodia,2007,23
Cambodia,2008,24.7
Cambodia,2009,24.9
Cambodia,2010,26
Cambodia,2011,27.6
Cambodia,2012,28.7
Cambodia,2013,
Cambodia,2014,
Indonesia,2004,65.2
Indonesia,2005,65.6
Indonesia,2006,66.5
Indonesia,2007,66.6
Indonesia,2008,67
Indonesia,2009,67.4
Indonesia,2010,67.7
Indonesia,2011,68.4
Indonesia,2012,70.9
Indonesia,2013,73.9
Indonesia,2014,
Lao PDR,2004,
Lao PDR,2005,35.7
Lao PDR,2006,35
Lao PDR,2007,34.6
Lao PDR,2008,37.2
Lao PDR,2009,36.8
Lao PDR,2010,33.9
Lao PDR,2011,33.4
Lao PDR,2012,34.7
Lao PDR,2013,
Lao PDR,2014,
Malaysia,2004,86.3
Malaysia,2005,85.6
Malaysia,2006,89.3
Malaysia,2007,87.7
Malaysia,2008,89.1
Malaysia,2009,90
Malaysia,2010,89.6
Malaysia,2011,89.8
Malaysia,2012,90.2
Malaysia,2013,90.4
Malaysia,2014,
Myanmar,2004,40
Myanmar,2005,40.4
Myanmar,2006,42.7
Myanmar,2007,43.7
Myanmar,2008,45.1
Myanmar,2009,44.7
Myanmar,2010,45.5
Myanmar,2011,47.2
Myanmar,2012,47.5
Myanmar,2013,63.5
Myanmar,2014,
Philippines,2004,
Philippines,2005,
Philippines,2006,58.5
Philippines,2007,59.6
Philippines,2008,59.9
Philippines,2009,60.5
Philippines,2010,59.9
Philippines,2011,60.9
Philippines,2012,
Philippines,2013,
Philippines,2014,
Singapore,2004,93.4
Singapore,2005,94.3
Singapore,2006,94.5
Singapore,2007,95.1
Singapore,2008,95
Singapore,2009,95.2
Singapore,2010,98.3
Singapore,2011,98.8
Singapore,2012,98.8
Singapore,2013,99.3
Singapore,2014,
Thailand,2004,78.6
Thailand,2005,80
Thailand,2006,81.3
Thailand,2007,
Thailand,2008,81.9
Thailand,2009,
Thailand,2010,83.4
Thailand,2011,
Thailand,2012,
Thailand,2013,
Thailand,2014,
Viet Nam,2004,
Viet Nam,2005,
Viet Nam,2006,81
Viet Nam,2007,82.7
Viet Nam,2008,83.1
Viet Nam,2009,
Viet Nam,2010,
Viet Nam,2011,
Viet Nam,2012,
Viet Nam,2013,
Viet Nam,2014,
